         N                  S1                  S2               Delta
     25133             10.7092             10.7092         7.10152e-18
     25134             10.7092             10.7092         7.20994e-18
     25135             10.7093             10.7093         7.20994e-18
     25136             10.7093             10.7093         7.26415e-18
     25137             10.7093             10.7093         7.26415e-18
     25138             10.7094             10.7094         7.26415e-18
     25139             10.7094             10.7094         7.26415e-18
     25140             10.7095             10.7095         7.20994e-18
     25141             10.7095             10.7095         7.20994e-18
     25142             10.7095             10.7095         7.20994e-18
     25143             10.7096             10.7096         7.26415e-18
     25144             10.7096             10.7096         7.26415e-18
     25145             10.7096             10.7096         7.26415e-18
     25146             10.7097             10.7097         7.20994e-18
     25147             10.7097             10.7097         7.20994e-18
     25148             10.7098             10.7098         7.26415e-18
     25149             10.7098             10.7098         7.26415e-18
     25150             10.7098             10.7098         7.26415e-18
     25151             10.7099             10.7099         7.26415e-18
     25152             10.7099             10.7099         7.26415e-18
     25153               10.71               10.71         7.26415e-18
     25154               10.71               10.71         7.26415e-18
     25155               10.71               10.71         7.26415e-18
     25156             10.7101             10.7101         7.20994e-18
     25157             10.7101             10.7101         7.26415e-18
     25158             10.7102             10.7102         7.20994e-18
     25159             10.7102             10.7102         7.20994e-18
     25160             10.7102             10.7102         7.26415e-18
     25161             10.7103             10.7103         7.26415e-18
     25162             10.7103             10.7103         7.26415e-18
     25163             10.7104             10.7104         7.26415e-18
     25164             10.7104             10.7104         7.26415e-18
     25165             10.7104             10.7104         7.37257e-18
     25166             10.7105             10.7105         7.37257e-18
     25167             10.7105             10.7105         7.37257e-18
     25168             10.7106             10.7106         7.42678e-18
     25169             10.7106             10.7106         7.42678e-18
     25170             10.7106             10.7106         7.42678e-18
     25171             10.7107             10.7107         7.53521e-18
     25172             10.7107             10.7107         7.53521e-18
     25173             10.7108             10.7108         7.42678e-18
     25174             10.7108             10.7108         7.53521e-18
     25175             10.7108             10.7108         7.53521e-18
     25176             10.7109             10.7109         7.53521e-18
     25177             10.7109             10.7109         7.42678e-18
     25178              10.711              10.711         7.42678e-18
     25179              10.711              10.711         7.42678e-18
     25180              10.711              10.711         7.42678e-18
     25181             10.7111             10.7111         7.42678e-18
     25182             10.7111             10.7111         7.42678e-18
     25183             10.7112             10.7112         7.42678e-18
     25184             10.7112             10.7112         7.42678e-18
     25185             10.7112             10.7112         7.53521e-18
     25186             10.7113             10.7113         7.42678e-18
     25187             10.7113             10.7113         7.42678e-18
     25188             10.7114             10.7114         7.42678e-18
     25189             10.7114             10.7114         7.42678e-18
     25190             10.7114             10.7114         7.42678e-18
     25191             10.7115             10.7115         7.53521e-18
     25192             10.7115             10.7115         7.42678e-18
     25193             10.7116             10.7116         7.53521e-18
     25194             10.7116             10.7116         7.42678e-18
     25195             10.7116             10.7116         7.42678e-18
     25196             10.7117             10.7117         7.42678e-18
     25197             10.7117             10.7117         7.37257e-18
     25198             10.7118             10.7118         7.42678e-18
     25199             10.7118             10.7118         7.53521e-18
     25200             10.7118             10.7118         7.42678e-18
     25201             10.7119             10.7119         7.42678e-18
     25202             10.7119             10.7119         7.42678e-18
     25203              10.712              10.712         7.42678e-18
     25204              10.712              10.712         7.53521e-18
     25205              10.712              10.712         7.42678e-18
     25206             10.7121             10.7121         7.42678e-18
     25207             10.7121             10.7121         7.42678e-18
     25208             10.7122             10.7122         7.37257e-18
     25209             10.7122             10.7122         7.42678e-18
     25210             10.7122             10.7122         7.37257e-18
     25211             10.7123             10.7123         7.37257e-18
     25212             10.7123             10.7123         7.37257e-18
     25213             10.7124             10.7124         7.37257e-18
     25214             10.7124             10.7124         7.37257e-18
     25215             10.7124             10.7124         7.26415e-18
     25216             10.7125             10.7125         7.26415e-18
     25217             10.7125             10.7125         7.26415e-18
     25218             10.7125             10.7125         7.26415e-18
     25219             10.7126             10.7126         7.26415e-18
     25220             10.7126             10.7126         7.26415e-18
     25221             10.7127             10.7127         7.26415e-18
     25222             10.7127             10.7127         7.26415e-18
     25223             10.7127             10.7127         7.20994e-18
     25224             10.7128             10.7128         7.20994e-18
     25225             10.7128             10.7128         7.20994e-18
     25226             10.7129             10.7129         7.20994e-18
     25227             10.7129             10.7129         7.20994e-18
     25228             10.7129             10.7129         7.20994e-18
     25229              10.713              10.713         7.10152e-18
     25230              10.713              10.713         7.20994e-18
     25231             10.7131             10.7131         7.20994e-18
     25232             10.7131             10.7131         7.20994e-18
     25233             10.7131             10.7131         7.20994e-18
     25234             10.7132             10.7132         7.20994e-18
     25235             10.7132             10.7132         7.20994e-18
     25236             10.7133             10.7133         7.20994e-18
     25237             10.7133             10.7133         7.20994e-18
     25238             10.7133             10.7133         7.10152e-18
     25239             10.7134             10.7134         7.10152e-18
     25240             10.7134             10.7134         7.10152e-18
     25241             10.7135             10.7135         7.10152e-18
     25242             10.7135             10.7135         7.04731e-18
     25243             10.7135             10.7135         7.04731e-18
     25244             10.7136             10.7136         7.04731e-18
     25245             10.7136             10.7136         7.04731e-18
     25246             10.7137             10.7137         7.04731e-18
     25247             10.7137             10.7137         7.04731e-18
     25248             10.7137             10.7137         7.04731e-18
     25249             10.7138             10.7138         7.04731e-18
     25250             10.7138             10.7138         7.04731e-18
     25251             10.7139             10.7139         7.04731e-18
     25252             10.7139             10.7139         7.04731e-18
     25253             10.7139             10.7139         6.93889e-18
     25254              10.714              10.714         7.04731e-18
     25255              10.714              10.714         7.04731e-18
     25256             10.7141             10.7141         7.04731e-18
     25257             10.7141             10.7141         7.04731e-18
     25258             10.7141             10.7141         7.04731e-18
     25259             10.7142             10.7142         7.04731e-18
     25260             10.7142             10.7142         7.04731e-18
     25261             10.7143             10.7143         7.04731e-18
     25262             10.7143             10.7143         7.04731e-18
     25263             10.7143             10.7143         7.04731e-18
     25264             10.7144             10.7144         7.04731e-18
     25265             10.7144             10.7144         7.04731e-18
     25266             10.7145             10.7145         6.93889e-18
     25267             10.7145             10.7145         7.04731e-18
     25268             10.7145             10.7145         7.04731e-18
     25269             10.7146             10.7146         7.04731e-18
     25270             10.7146             10.7146         7.04731e-18
     25271             10.7146             10.7146         6.93889e-18
     25272             10.7147             10.7147         7.04731e-18
     25273             10.7147             10.7147         6.93889e-18
     25274             10.7148             10.7148         6.93889e-18
     25275             10.7148             10.7148         6.93889e-18
     25276             10.7148             10.7148         6.93889e-18
     25277             10.7149             10.7149         6.93889e-18
     25278             10.7149             10.7149         6.93889e-18
     25279              10.715              10.715         6.93889e-18
     25280              10.715              10.715         6.93889e-18
     25281              10.715              10.715         6.93889e-18
     25282             10.7151             10.7151         6.88468e-18
     25283             10.7151             10.7151         6.93889e-18
     25284             10.7152             10.7152         6.93889e-18
     25285             10.7152             10.7152         6.93889e-18
     25286             10.7152             10.7152         6.93889e-18
     25287             10.7153             10.7153         6.88468e-18
     25288             10.7153             10.7153         6.93889e-18
     25289             10.7154             10.7154         6.93889e-18
     25290             10.7154             10.7154         7.04731e-18
     25291             10.7154             10.7154         6.93889e-18
     25292             10.7155             10.7155         6.93889e-18
     25293             10.7155             10.7155         6.93889e-18
     25294             10.7156             10.7156         6.93889e-18
     25295             10.7156             10.7156         6.93889e-18
     25296             10.7156             10.7156         6.93889e-18
     25297             10.7157             10.7157         6.93889e-18
     25298             10.7157             10.7157         7.04731e-18
     25299             10.7158             10.7158         6.93889e-18
     25300             10.7158             10.7158         6.93889e-18
     25301             10.7158             10.7158         6.93889e-18
     25302             10.7159             10.7159         6.93889e-18
     25303             10.7159             10.7159         6.93889e-18
     25304              10.716              10.716         6.88468e-18
     25305              10.716              10.716         6.88468e-18
     25306              10.716              10.716         6.88468e-18
     25307             10.7161             10.7161         6.88468e-18
     25308             10.7161             10.7161         6.88468e-18
     25309             10.7162             10.7162         6.88468e-18
     25310             10.7162             10.7162         6.88468e-18
     25311             10.7162             10.7162         6.88468e-18
     25312             10.7163             10.7163         6.88468e-18
     25313             10.7163             10.7163         6.93889e-18
     25314             10.7163             10.7163         6.88468e-18
     25315             10.7164             10.7164         6.88468e-18
     25316             10.7164             10.7164         6.88468e-18
     25317             10.7165             10.7165         6.93889e-18
     25318             10.7165             10.7165         6.88468e-18
     25319             10.7165             10.7165         6.77626e-18
     25320             10.7166             10.7166         6.88468e-18
     25321             10.7166             10.7166         6.88468e-18
     25322             10.7167             10.7167         6.88468e-18
     25323             10.7167             10.7167         6.77626e-18
     25324             10.7167             10.7167         6.77626e-18
     25325             10.7168             10.7168         6.77626e-18
     25326             10.7168             10.7168         6.77626e-18
     25327             10.7169             10.7169         6.77626e-18
     25328             10.7169             10.7169         6.77626e-18
     25329             10.7169             10.7169         6.72205e-18
     25330              10.717              10.717         6.72205e-18
     25331              10.717              10.717         6.72205e-18
     25332             10.7171             10.7171         6.72205e-18
     25333             10.7171             10.7171         6.61363e-18
     25334             10.7171             10.7171         6.72205e-18
     25335             10.7172             10.7172         6.72205e-18
     25336             10.7172             10.7172         6.72205e-18
     25337             10.7173             10.7173         6.72205e-18
     25338             10.7173             10.7173         6.72205e-18
     25339             10.7173             10.7173         6.77626e-18
     25340             10.7174             10.7174         6.77626e-18
     25341             10.7174             10.7174         6.77626e-18
     25342             10.7175             10.7175         6.77626e-18
     25343             10.7175             10.7175         6.77626e-18
     25344             10.7175             10.7175         6.72205e-18
     25345             10.7176             10.7176         6.77626e-18
     25346             10.7176             10.7176         6.77626e-18
     25347             10.7177             10.7177         6.77626e-18
     25348             10.7177             10.7177         6.77626e-18
     25349             10.7177             10.7177         6.77626e-18
     25350             10.7178             10.7178         6.72205e-18
     25351             10.7178             10.7178         6.77626e-18
     25352             10.7178             10.7178         6.72205e-18
     25353             10.7179             10.7179         6.77626e-18
     25354             10.7179             10.7179         6.77626e-18
     25355              10.718              10.718         6.72205e-18
     25356              10.718              10.718         6.61363e-18
     25357              10.718              10.718         6.61363e-18
     25358             10.7181             10.7181         6.61363e-18
     25359             10.7181             10.7181         6.55942e-18
     25360             10.7182             10.7182         6.61363e-18
     25361             10.7182             10.7182         6.55942e-18
     25362             10.7182             10.7182         6.55942e-18
     25363             10.7183             10.7183         6.55942e-18
     25364             10.7183             10.7183         6.61363e-18
     25365             10.7184             10.7184         6.55942e-18
     25366             10.7184             10.7184         6.55942e-18
     25367             10.7184             10.7184         6.61363e-18
     25368             10.7185             10.7185         6.55942e-18
     25369             10.7185             10.7185           6.451e-18
     25370             10.7186             10.7186         6.55942e-18
     25371             10.7186             10.7186         6.55942e-18
     25372             10.7186             10.7186         6.55942e-18
     25373             10.7187             10.7187         6.55942e-18
     25374             10.7187             10.7187         6.55942e-18
     25375             10.7188             10.7188         6.55942e-18
     25376             10.7188             10.7188           6.451e-18
     25377             10.7188             10.7188           6.451e-18
     25378             10.7189             10.7189         6.55942e-18
     25379             10.7189             10.7189         6.55942e-18
     25380              10.719              10.719         6.55942e-18
     25381              10.719              10.719         6.55942e-18
     25382              10.719              10.719         6.55942e-18
     25383             10.7191             10.7191         6.55942e-18
     25384             10.7191             10.7191           6.451e-18
     25385             10.7191             10.7191           6.451e-18
     25386             10.7192             10.7192         6.55942e-18
     25387             10.7192             10.7192         6.55942e-18
     25388             10.7193             10.7193         6.55942e-18
     25389             10.7193             10.7193           6.451e-18
     25390             10.7193             10.7193           6.451e-18
     25391             10.7194             10.7194           6.451e-18
     25392             10.7194             10.7194         6.55942e-18
     25393             10.7195             10.7195         6.55942e-18
     25394             10.7195             10.7195           6.451e-18
     25395             10.7195             10.7195         6.55942e-18
     25396             10.7196             10.7196         6.55942e-18
     25397             10.7196             10.7196         6.55942e-18
     25398             10.7197             10.7197         6.55942e-18
     25399             10.7197             10.7197         6.55942e-18
     25400             10.7197             10.7197         6.55942e-18
     25401             10.7198             10.7198         6.61363e-18
     25402             10.7198             10.7198         6.61363e-18
     25403             10.7199             10.7199         6.61363e-18
     25404             10.7199             10.7199         6.55942e-18
     25405             10.7199             10.7199         6.61363e-18
     25406               10.72               10.72         6.61363e-18
     25407               10.72               10.72         6.55942e-18
     25408             10.7201             10.7201         6.55942e-18
     25409             10.7201             10.7201         6.55942e-18
     25410             10.7201             10.7201         6.55942e-18
     25411             10.7202             10.7202         6.55942e-18
     25412             10.7202             10.7202         6.61363e-18
     25413             10.7203             10.7203         6.55942e-18
     25414             10.7203             10.7203         6.55942e-18
     25415             10.7203             10.7203         6.55942e-18
     25416             10.7204             10.7204         6.61363e-18
     25417             10.7204             10.7204         6.61363e-18
     25418             10.7204             10.7204         6.61363e-18
     25419             10.7205             10.7205         6.55942e-18
     25420             10.7205             10.7205         6.61363e-18
     25421             10.7206             10.7206         6.61363e-18
     25422             10.7206             10.7206         6.55942e-18
     25423             10.7206             10.7206         6.55942e-18
     25424             10.7207             10.7207         6.55942e-18
     25425             10.7207             10.7207         6.55942e-18
     25426             10.7208             10.7208           6.451e-18
     25427             10.7208             10.7208           6.451e-18
     25428             10.7208             10.7208           6.451e-18
     25429             10.7209             10.7209           6.451e-18
     25430             10.7209             10.7209           6.451e-18
     25431              10.721              10.721           6.451e-18
     25432              10.721              10.721           6.451e-18
     25433              10.721              10.721           6.451e-18
     25434             10.7211             10.7211           6.451e-18
     25435             10.7211             10.7211           6.451e-18
     25436             10.7212             10.7212           6.451e-18
     25437             10.7212             10.7212           6.451e-18
     25438             10.7212             10.7212           6.451e-18
     25439             10.7213             10.7213           6.451e-18
     25440             10.7213             10.7213           6.451e-18
     25441             10.7214             10.7214         6.39679e-18
     25442             10.7214             10.7214           6.451e-18
     25443             10.7214             10.7214         6.39679e-18
     25444             10.7215             10.7215         6.39679e-18
     25445             10.7215             10.7215           6.451e-18
     25446             10.7215             10.7215         6.39679e-18
     25447             10.7216             10.7216           6.451e-18
     25448             10.7216             10.7216           6.451e-18
     25449             10.7217             10.7217           6.451e-18
     25450             10.7217             10.7217         6.55942e-18
     25451             10.7217             10.7217         6.55942e-18
     25452             10.7218             10.7218           6.451e-18
     25453             10.7218             10.7218         6.55942e-18
     25454             10.7219             10.7219           6.451e-18
     25455             10.7219             10.7219           6.451e-18
     25456             10.7219             10.7219           6.451e-18
     25457              10.722              10.722           6.451e-18
     25458              10.722              10.722           6.451e-18
     25459             10.7221             10.7221         6.55942e-18
     25460             10.7221             10.7221           6.451e-18
     25461             10.7221             10.7221         6.55942e-18
     25462             10.7222             10.7222         6.55942e-18
     25463             10.7222             10.7222         6.55942e-18
     25464             10.7223             10.7223         6.55942e-18
     25465             10.7223             10.7223         6.55942e-18
     25466             10.7223             10.7223           6.451e-18
     25467             10.7224             10.7224         6.55942e-18
     25468             10.7224             10.7224           6.451e-18
     25469             10.7225             10.7225           6.451e-18
     25470             10.7225             10.7225         6.55942e-18
     25471             10.7225             10.7225         6.55942e-18
     25472             10.7226             10.7226         6.55942e-18
     25473             10.7226             10.7226         6.55942e-18
     25474             10.7226             10.7226           6.451e-18
     25475             10.7227             10.7227         6.39679e-18
     25476             10.7227             10.7227           6.451e-18
     25477             10.7228             10.7228           6.451e-18
     25478             10.7228             10.7228           6.451e-18
     25479             10.7228             10.7228           6.451e-18
     25480             10.7229             10.7229           6.451e-18
     25481             10.7229             10.7229           6.451e-18
     25482              10.723              10.723           6.451e-18
     25483              10.723              10.723           6.451e-18
     25484              10.723              10.723           6.451e-18
     25485             10.7231             10.7231         6.39679e-18
     25486             10.7231             10.7231         6.39679e-18
     25487             10.7232             10.7232           6.451e-18
     25488             10.7232             10.7232         6.39679e-18
     25489             10.7232             10.7232         6.39679e-18
     25490             10.7233             10.7233         6.39679e-18
     25491             10.7233             10.7233         6.39679e-18
     25492             10.7234             10.7234           6.451e-18
     25493             10.7234             10.7234         6.39679e-18
     25494             10.7234             10.7234         6.39679e-18
     25495             10.7235             10.7235         6.39679e-18
     25496             10.7235             10.7235         6.39679e-18
     25497             10.7236             10.7236         6.39679e-18
     25498             10.7236             10.7236         6.39679e-18
     25499             10.7236             10.7236         6.28837e-18
     25500             10.7237             10.7237         6.28837e-18
     25501             10.7237             10.7237         6.39679e-18
     25502             10.7237             10.7237         6.39679e-18
     25503             10.7238             10.7238         6.28837e-18
     25504             10.7238             10.7238         6.28837e-18
     25505             10.7239             10.7239         6.39679e-18
     25506             10.7239             10.7239         6.28837e-18
     25507             10.7239             10.7239         6.39679e-18
     25508              10.724              10.724         6.39679e-18
     25509              10.724              10.724         6.39679e-18
     25510             10.7241             10.7241         6.28837e-18
     25511             10.7241             10.7241         6.28837e-18
     25512             10.7241             10.7241         6.28837e-18
     25513             10.7242             10.7242         6.39679e-18
     25514             10.7242             10.7242         6.28837e-18
     25515             10.7243             10.7243         6.39679e-18
     25516             10.7243             10.7243         6.39679e-18
     25517             10.7243             10.7243           6.451e-18
     25518             10.7244             10.7244           6.451e-18
     25519             10.7244             10.7244           6.451e-18
     25520             10.7245             10.7245         6.39679e-18
     25521             10.7245             10.7245         6.39679e-18
     25522             10.7245             10.7245         6.39679e-18
     25523             10.7246             10.7246         6.39679e-18
     25524             10.7246             10.7246         6.39679e-18
     25525             10.7246             10.7246         6.39679e-18
     25526             10.7247             10.7247         6.39679e-18
     25527             10.7247             10.7247         6.39679e-18
     25528             10.7248             10.7248         6.39679e-18
     25529             10.7248             10.7248         6.28837e-18
     25530             10.7248             10.7248         6.28837e-18
     25531             10.7249             10.7249         6.28837e-18
     25532             10.7249             10.7249         6.28837e-18
     25533              10.725              10.725         6.39679e-18
     25534              10.725              10.725         6.28837e-18
     25535              10.725              10.725         6.28837e-18
     25536             10.7251             10.7251         6.39679e-18
     25537             10.7251             10.7251         6.28837e-18
     25538             10.7252             10.7252         6.28837e-18
     25539             10.7252             10.7252         6.23416e-18
     25540             10.7252             10.7252         6.28837e-18
     25541             10.7253             10.7253         6.28837e-18
     25542             10.7253             10.7253         6.39679e-18
     25543             10.7254             10.7254         6.39679e-18
     25544             10.7254             10.7254         6.28837e-18
     25545             10.7254             10.7254         6.39679e-18
     25546             10.7255             10.7255         6.39679e-18
     25547             10.7255             10.7255         6.39679e-18
     25548             10.7255             10.7255         6.39679e-18
     25549             10.7256             10.7256         6.28837e-18
     25550             10.7256             10.7256         6.28837e-18
     25551             10.7257             10.7257         6.28837e-18
     25552             10.7257             10.7257         6.28837e-18
     25553             10.7257             10.7257         6.28837e-18
     25554             10.7258             10.7258         6.28837e-18
     25555             10.7258             10.7258         6.28837e-18
     25556             10.7259             10.7259         6.28837e-18
     25557             10.7259             10.7259         6.28837e-18
     25558             10.7259             10.7259         6.28837e-18
     25559              10.726              10.726         6.23416e-18
     25560              10.726              10.726         6.28837e-18
     25561             10.7261             10.7261         6.28837e-18
     25562             10.7261             10.7261         6.28837e-18
     25563             10.7261             10.7261         6.39679e-18
     25564             10.7262             10.7262         6.39679e-18
     25565             10.7262             10.7262         6.28837e-18
     25566             10.7263             10.7263         6.39679e-18
     25567             10.7263             10.7263         6.39679e-18
     25568             10.7263             10.7263         6.39679e-18
     25569             10.7264             10.7264         6.39679e-18
     25570             10.7264             10.7264         6.39679e-18
     25571             10.7264             10.7264         6.28837e-18
     25572             10.7265             10.7265         6.39679e-18
     25573             10.7265             10.7265         6.28837e-18
     25574             10.7266             10.7266         6.39679e-18
     25575             10.7266             10.7266         6.28837e-18
     25576             10.7266             10.7266         6.28837e-18
     25577             10.7267             10.7267         6.28837e-18
     25578             10.7267             10.7267         6.28837e-18
     25579             10.7268             10.7268         6.23416e-18
     25580             10.7268             10.7268         6.23416e-18
     25581             10.7268             10.7268         6.28837e-18
     25582             10.7269             10.7269         6.23416e-18
     25583             10.7269             10.7269         6.23416e-18
     25584              10.727              10.727         6.23416e-18
     25585              10.727              10.727         6.28837e-18
     25586              10.727              10.727         6.28837e-18
     25587             10.7271             10.7271         6.23416e-18
     25588             10.7271             10.7271         6.23416e-18
     25589             10.7272             10.7272         6.23416e-18
     25590             10.7272             10.7272         6.28837e-18
     25591             10.7272             10.7272         6.28837e-18
     25592             10.7273             10.7273         6.28837e-18
     25593             10.7273             10.7273         6.28837e-18
     25594             10.7273             10.7273         6.28837e-18
     25595             10.7274             10.7274         6.28837e-18
     25596             10.7274             10.7274         6.28837e-18
     25597             10.7275             10.7275         6.28837e-18
     25598             10.7275             10.7275         6.28837e-18
     25599             10.7275             10.7275         6.23416e-18
     25600             10.7276             10.7276         6.28837e-18
     25601             10.7276             10.7276         6.23416e-18
     25602             10.7277             10.7277         6.23416e-18
     25603             10.7277             10.7277         6.28837e-18
     25604             10.7277             10.7277         6.23416e-18
     25605             10.7278             10.7278         6.28837e-18
     25606             10.7278             10.7278         6.23416e-18
     25607             10.7279             10.7279         6.23416e-18
     25608             10.7279             10.7279         6.23416e-18
     25609             10.7279             10.7279         6.28837e-18
     25610              10.728              10.728         6.28837e-18
     25611              10.728              10.728         6.28837e-18
     25612             10.7281             10.7281         6.28837e-18
     25613             10.7281             10.7281         6.39679e-18
     25614             10.7281             10.7281         6.39679e-18
     25615             10.7282             10.7282         6.39679e-18
     25616             10.7282             10.7282         6.39679e-18
     25617             10.7282             10.7282         6.28837e-18
     25618             10.7283             10.7283         6.39679e-18
     25619             10.7283             10.7283         6.39679e-18
     25620             10.7284             10.7284         6.39679e-18
     25621             10.7284             10.7284           6.451e-18
     25622             10.7284             10.7284         6.39679e-18
     25623             10.7285             10.7285         6.39679e-18
     25624             10.7285             10.7285         6.39679e-18
     25625             10.7286             10.7286         6.39679e-18
     25626             10.7286             10.7286         6.39679e-18
     25627             10.7286             10.7286         6.39679e-18
     25628             10.7287             10.7287         6.39679e-18
     25629             10.7287             10.7287         6.39679e-18
     25630             10.7288             10.7288         6.39679e-18
     25631             10.7288             10.7288         6.28837e-18
     25632             10.7288             10.7288         6.28837e-18
     25633             10.7289             10.7289         6.39679e-18
     25634             10.7289             10.7289         6.28837e-18
     25635             10.7289             10.7289         6.28837e-18
     25636              10.729              10.729         6.28837e-18
     25637              10.729              10.729         6.28837e-18
     25638             10.7291             10.7291         6.28837e-18
     25639             10.7291             10.7291         6.28837e-18
     25640             10.7291             10.7291         6.39679e-18
     25641             10.7292             10.7292         6.28837e-18
     25642             10.7292             10.7292         6.23416e-18
     25643             10.7293             10.7293         6.28837e-18
     25644             10.7293             10.7293         6.28837e-18
     25645             10.7293             10.7293         6.28837e-18
     25646             10.7294             10.7294         6.28837e-18
     25647             10.7294             10.7294         6.23416e-18
     25648             10.7295             10.7295         6.23416e-18
     25649             10.7295             10.7295         6.23416e-18
     25650             10.7295             10.7295         6.28837e-18
     25651             10.7296             10.7296         6.23416e-18
     25652             10.7296             10.7296         6.28837e-18
     25653             10.7297             10.7297         6.28837e-18
     25654             10.7297             10.7297         6.28837e-18
     25655             10.7297             10.7297         6.23416e-18
     25656             10.7298             10.7298         6.23416e-18
     25657             10.7298             10.7298         6.23416e-18
     25658             10.7298             10.7298         6.28837e-18
     25659             10.7299             10.7299         6.23416e-18
     25660             10.7299             10.7299         6.23416e-18
     25661               10.73               10.73         6.23416e-18
     25662               10.73               10.73         6.23416e-18
     25663               10.73               10.73         6.23416e-18
     25664             10.7301             10.7301         6.23416e-18
     25665             10.7301             10.7301         6.23416e-18
     25666             10.7302             10.7302         6.12574e-18
     25667             10.7302             10.7302         6.23416e-18
     25668             10.7302             10.7302         6.23416e-18
     25669             10.7303             10.7303         6.28837e-18
     25670             10.7303             10.7303         6.23416e-18
     25671             10.7304             10.7304         6.28837e-18
     25672             10.7304             10.7304         6.23416e-18
     25673             10.7304             10.7304         6.23416e-18
     25674             10.7305             10.7305         6.28837e-18
     25675             10.7305             10.7305         6.28837e-18
     25676             10.7305             10.7305         6.28837e-18
     25677             10.7306             10.7306         6.23416e-18
     25678             10.7306             10.7306         6.28837e-18
     25679             10.7307             10.7307         6.23416e-18
     25680             10.7307             10.7307         6.23416e-18
     25681             10.7307             10.7307         6.12574e-18
     25682             10.7308             10.7308         6.12574e-18
     25683             10.7308             10.7308         6.12574e-18
     25684             10.7309             10.7309         6.12574e-18
     25685             10.7309             10.7309         6.07153e-18
     25686             10.7309             10.7309         6.07153e-18
     25687              10.731              10.731         6.12574e-18
     25688              10.731              10.731         6.12574e-18
     25689             10.7311             10.7311         6.12574e-18
     25690             10.7311             10.7311         6.12574e-18
     25691             10.7311             10.7311         6.12574e-18
     25692             10.7312             10.7312         6.12574e-18
     25693             10.7312             10.7312         6.12574e-18
     25694             10.7312             10.7312         6.12574e-18
     25695             10.7313             10.7313         6.12574e-18
     25696             10.7313             10.7313         6.12574e-18
     25697             10.7314             10.7314         6.12574e-18
     25698             10.7314             10.7314         6.12574e-18
     25699             10.7314             10.7314         6.12574e-18
     25700             10.7315             10.7315         6.07153e-18
     25701             10.7315             10.7315         6.07153e-18
     25702             10.7316             10.7316         6.07153e-18
     25703             10.7316             10.7316         6.07153e-18
     25704             10.7316             10.7316         6.12574e-18
     25705             10.7317             10.7317         6.07153e-18
     25706             10.7317             10.7317         6.12574e-18
     25707             10.7318             10.7318         6.07153e-18
     25708             10.7318             10.7318         6.07153e-18
     25709             10.7318             10.7318         6.07153e-18
     25710             10.7319             10.7319         6.07153e-18
     25711             10.7319             10.7319         6.07153e-18
     25712             10.7319             10.7319         6.12574e-18
     25713              10.732              10.732         6.12574e-18
     25714              10.732              10.732         6.12574e-18
     25715             10.7321             10.7321         6.12574e-18
     25716             10.7321             10.7321         6.07153e-18
     25717             10.7321             10.7321         6.07153e-18
     25718             10.7322             10.7322         6.07153e-18
     25719             10.7322             10.7322         6.07153e-18
     25720             10.7323             10.7323         6.07153e-18
     25721             10.7323             10.7323         6.07153e-18
     25722             10.7323             10.7323         6.12574e-18
     25723             10.7324             10.7324         6.12574e-18
     25724             10.7324             10.7324         6.07153e-18
     25725             10.7325             10.7325         6.12574e-18
     25726             10.7325             10.7325         6.12574e-18
     25727             10.7325             10.7325         6.23416e-18
     25728             10.7326             10.7326         6.23416e-18
     25729             10.7326             10.7326         6.12574e-18
     25730             10.7326             10.7326         6.23416e-18
     25731             10.7327             10.7327         6.23416e-18
     25732             10.7327             10.7327         6.23416e-18
     25733             10.7328             10.7328         6.23416e-18
     25734             10.7328             10.7328         6.23416e-18
     25735             10.7328             10.7328         6.23416e-18
     25736             10.7329             10.7329         6.23416e-18
     25737             10.7329             10.7329         6.23416e-18
     25738              10.733              10.733         6.23416e-18
     25739              10.733              10.733         6.23416e-18
     25740              10.733              10.733         6.28837e-18
     25741             10.7331             10.7331         6.23416e-18
     25742             10.7331             10.7331         6.23416e-18
     25743             10.7332             10.7332         6.23416e-18
     25744             10.7332             10.7332         6.23416e-18
     25745             10.7332             10.7332         6.23416e-18
     25746             10.7333             10.7333         6.28837e-18
     25747             10.7333             10.7333         6.28837e-18
     25748             10.7333             10.7333         6.28837e-18
     25749             10.7334             10.7334         6.28837e-18
     25750             10.7334             10.7334         6.23416e-18
     25751             10.7335             10.7335         6.28837e-18
     25752             10.7335             10.7335         6.28837e-18
     25753             10.7335             10.7335         6.28837e-18
     25754             10.7336             10.7336         6.28837e-18
     25755             10.7336             10.7336         6.28837e-18
     25756             10.7337             10.7337         6.28837e-18
     25757             10.7337             10.7337         6.28837e-18
     25758             10.7337             10.7337         6.28837e-18
     25759             10.7338             10.7338         6.28837e-18
     25760             10.7338             10.7338         6.39679e-18
     25761             10.7339             10.7339         6.28837e-18
     25762             10.7339             10.7339         6.28837e-18
     25763             10.7339             10.7339         6.28837e-18
     25764              10.734              10.734         6.28837e-18
     25765              10.734              10.734         6.23416e-18
     25766              10.734              10.734         6.28837e-18
